Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)|Rugrats Movie, The (1998)|Bug's Life, A (1998)|Toy Story 2 (1999)|Saludos Amigos (1943)|Chicken Run (2000)|Adventures of Rocky and Bullwinkle, The (2000)|Goofy Movie, A (1995)"
In the Bleak Midwinter (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|Bottle Rocket (1996)|Mr. Wrong (1996)
"Hate (Haine, La) (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Shopping (1994),"Nick of Time (1995)|Broken Arrow (1996)|Die Hard: With a Vengeance (1995)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)|Executive Decision (1996)"
Heidi Fleiss: Hollywood Madam (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
City Hall (1996),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|Taxi Driver (1976)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
Bottle Rocket (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Mr. Wrong (1996)
Mr. Wrong (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Unforgettable (1996),"Four Rooms (1995)|Assassins (1995)|Jade (1995)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)|Shallow Grave (1994)"
Happy Gilmore (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"Bridges of Madison County, The (1995)","Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Frankie Starlight (1995)|Up Close and Personal (1996)"
Nobody Loves Me (Keiner liebt mich) (1994),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nueba Yol (1995)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
Muppet Treasure Island (1996),"Hercules (1997)|Nightmare Before Christmas, The (1993)|Herbie Rides Again (1974)|Mary Poppins (1964)|Bedknobs and Broomsticks (1971)|Jingle All the Way (1996)|Paulie (1998)|Candleshoe (1977)|Herbie Goes Bananas (1980)|Herbie Goes to Monte Carlo (1977)"
Catwalk (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
Headless Body in Topless Bar (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Braveheart (1995),"Heaven & Earth (1993)|Full Metal Jacket (1987)|Boat, The (Das Boot) (1981)|Glory (1989)|G.I. Jane (1997)|Saving Private Ryan (1998)|Thin Red Line, The (1998)|Longest Day, The (1962)|Flying Tigers (1942)|Fighting Seabees, The (1944)"
Taxi Driver (1976),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Babysitter, The (1995)|Disclosure (1994)|Death and the Maiden (1994)|Dolores Claiborne (1994)|Murder in the First (1995)"
Rumble in the Bronx (1995),Cliffhanger (1993)|Batman & Robin (1997)|Batman Forever (1995)|Hard Target (1993)|Batman (1989)|Batman Returns (1992)|Midnight Run (1988)|Mortal Kombat (1995)|Waterworld (1995)|New York Cop (1996)
Before and After (1996),"Confessional, The (Le Confessionnal) (1995)|Hour of the Pig, The (1993)|Lone Star (1996)|Picnic at Hanging Rock (1975)|In the Heat of the Night (1967)|Klute (1971)|Rapture, The (1991)|Blue Velvet (1986)|Red Violin, The (Le Violon rouge) (1998)|Morning After, The (1986)"
Margaret's Museum (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Happiness Is in the Field (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Anne Frank Remembered (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
"Young Poisoner's Handbook, The (1995)",Clean Slate (Coup de Torchon) (1981)|Switchblade Sisters (1975)|Original Gangstas (1996)|Kansas City (1996)|2 Days in the Valley (1996)|Curdled (1996)|Freeway (1996)|Mad Dog Time (1996)|Gridlock'd (1997)|Keys to Tulsa (1997)
If Lucy Fell (1996),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|Boomerang (1992)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
"Steal Big, Steal Little (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Race the Sun (1996),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Boys of St. Vincent, The (1993)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Boomerang (1992),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Pie in the Sky (1995)|French Kiss (1995)|Forget Paris (1995)
Chungking Express (1994),"Flesh and Bone (1993)|Lulu on the Bridge (1998)|Sommersby (1993)|Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Confessional, The (Le Confessionnal) (1995)"
"Star Maker, The (Uomo delle stelle, L') (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Flirting With Disaster (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
"NeverEnding Story III, The (1994)","Jumanji (1995)|Kids of the Round Table (1995)|Indian in the Cupboard, The (1995)|Escape to Witch Mountain (1975)|Labyrinth (1986)|Goonies, The (1985)|Darby O'Gill and the Little People (1959)|NeverEnding Story, The (1984)|NeverEnding Story II: The Next Chapter, The (1990)|Santa Claus: The Movie (1985)"
"Silence of the Palace, The (Saimt el Qusur) (1994)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Jupiter's Wife (1994),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
Pie in the Sky (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)|Two if by Sea (1996)|French Twist (Gazon maudit) (1995)|Vampire in Brooklyn (1995)|If Lucy Fell (1996)|Boomerang (1992)|French Kiss (1995)|Forget Paris (1995)
Angela (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Frankie Starlight (1995),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Up Close and Personal (1996)"
Jade (1995),"Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)|Mute Witness (1994)|Safe (1995)|Tie That Binds, The (1995)|Dream Man (1995)|Hideaway (1995)|Poison Ivy II (1995)|Shallow Grave (1994)"
Nueba Yol (1995),"Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Doom Generation, The (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)"
Sonic Outlaws (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
Down Periscope (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
From the Journals of Jean Seberg (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|Man of the Year (1995)|Crumb (1994)|Show, The (1995)"
Man of the Year (1995),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Crumb (1994)|Show, The (1995)"
"Neon Bible, The (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Target (1995),"Perfect World, A (1993)|Program, The (1993)|Romper Stomper (1992)|Palookaville (1996)|Johnny 100 Pesos (1993)|Marked for Death (1990)|Mad City (1997)|Men of Means (1998)|Tokyo Fist (1995)|Men With Guns (1997)"
Up Close and Personal (1996),"Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)|How to Make an American Quilt (1995)|When Night Is Falling (1995)|Postino, Il (The Postman) (1994)|Bed of Roses (1996)|Angels and Insects (1995)|Bridges of Madison County, The (1995)|Frankie Starlight (1995)"
"Birdcage, The (1996)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Shadows (Cienie) (1988),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Gospa (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Brothers McMullen, The (1995)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Bad Boys (1995),"Sudden Death (1995)|Money Train (1995)|Fair Game (1995)|Under Siege 2: Dark Territory (1995)|Drop Zone (1994)|Hunted, The (1995)|Specialist, The (1994)|Bad Company (1995)|Street Fighter (1994)|Coldblooded (1995)"
"Amazing Panda Adventure, The (1995)","Tom and Huck (1995)|Casper (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)|Gold Diggers: The Secret of Bear Mountain (1995)"
"Basketball Diaries, The (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
"Awfully Big Adventure, An (1995)","Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Amateur (1994),"Copycat (1995)|Kiss of Death (1995)|Guilty as Sin (1993)|Fargo (1996)|Once Upon a Time in America (1984)|Desperate Measures (1998)|Kiss the Girls (1997)|Thomas Crown Affair, The (1968)|Professional, The (a.k.a. Leon: The Professional) (1994)|Bound (1996)"
Apollo 13 (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Rob Roy (1995),"Colonel Chabert, Le (1994)|Casablanca (1942)|Gone with the Wind (1939)|Crying Game, The (1992)|English Patient, The (1996)|Wings (1927)|From Here to Eternity (1953)|Doctor Zhivago (1965)|Ride with the Devil (1999)|Legends of the Fall (1994)"
"Addiction, The (1995)","Lord of Illusions (1995)|Prophecy, The (1995)|Castle Freak (1995)|Tales From the Crypt Presents: Demon Knight (1995)|Wes Craven's New Nightmare (1994)|Fear, The (1995)|Cronos (1992)|Candyman: Farewell to the Flesh (1995)|Spirits of the Dead (Tre Passi nel Delirio) (1968)|Eyes Without a Face (1959)"
Batman Forever (1995),"Batman Returns (1992)|Midnight Run (1988)|Rumble in the Bronx (1995)|Cliffhanger (1993)|Three Musketeers, The (1993)|Batman & Robin (1997)|I Went Down (1997)|Mystery Men (1999)|Golden Child, The (1986)|Operation Condor (Feiying gaiwak) (1990)"
Belle de jour (1967),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Beyond Rangoon (1995),"Richard III (1995)|Walking Dead, The (1995)|Schindler's List (1993)|Courage Under Fire (1996)|Nothing Personal (1995)|Michael Collins (1996)|Platoon (1986)|Paths of Glory (1957)|Apocalypse Now (1979)|Ran (1985)"
Blue in the Face (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)|Mighty Aphrodite (1995)|Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)|Bio-Dome (1996)|Friday (1995)|Black Sheep (1996)|In the Bleak Midwinter (1995)|Bottle Rocket (1996)
Canadian Bacon (1994),In the Army Now (1994)|Bananas (1971)|Mediterraneo (1991)|Duck Soup (1933)|M*A*S*H (1970)|McHale's Navy (1997)|And the Ship Sails On (E la nave va) (1984)|How I Won the War (1967)|Forrest Gump (1994)|Hot Shots! Part Deux (1993)
Casper (1995),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Far From Home: The Adventures of Yellow Dog (1995)|Secret Adventures of Tom Thumb, The (1993)|Black Beauty (1994)|Lassie (1994)|Andre (1994)|Homeward Bound II: Lost in San Francisco (1996)|Flipper (1996)|Gold Diggers: The Secret of Bear Mountain (1995)"
Clockers (1995),"Nixon (1995)|Othello (1995)|Now and Then (1995)|Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)|Dangerous Minds (1995)|Dead Man Walking (1995)|Cry, the Beloved Country (1995)|Restoration (1995)|Lamerica (1994)|Georgia (1995)"
Congo (1995),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)|Jurassic Park (1993)|Mission: Impossible (1996)|Star Trek: First Contact (1996)|Star Trek: The Motion Picture (1979)|Star Trek VI: The Undiscovered Country (1991)|Star Trek V: The Final Frontier (1989)|Star Trek: The Wrath of Khan (1982)
Crimson Tide (1995),"Lifeboat (1944)|Devil's Own, The (1997)|Casino (1995)|Richard III (1995)|Eye for an Eye (1996)|Juror, The (1996)|Mary Reilly (1996)|City Hall (1996)|Taxi Driver (1976)|Beyond Rangoon (1995)"
Crumb (1994),"Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)|Catwalk (1995)|Anne Frank Remembered (1995)|Jupiter's Wife (1994)|Sonic Outlaws (1995)|From the Journals of Jean Seberg (1995)|Man of the Year (1995)|Show, The (1995)"
Desperado (1995),"Crow, The (1994)|Speed (1994)|Saint, The (1997)|Speed 2: Cruise Control (1997)|Tomorrow Never Dies (1997)|Tequila Sunrise (1988)|Twister (1996)|Conspiracy Theory (1997)|Jumpin' Jack Flash (1986)|Bodyguard, The (1992)"
Devil in a Blue Dress (1995),"L.A. Confidential (1997)|Mulholland Falls (1996)|Laura (1944)|He Walked by Night (1948)|Touch of Evil (1958)|Chinatown (1974)|M (1931)|Palmetto (1998)|Angel Heart (1987)|Devil's Advocate, The (1997)"
Die Hard: With a Vengeance (1995),"Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)|Natural Born Killers (1994)|River Wild, The (1994)|Mirage (1995)|Blown Away (1994)|Fugitive, The (1993)|In the Line of Fire (1993)|Executive Decision (1996)"
"Doom Generation, The (1995)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)|Big Bully (1996)|Last Summer in the Hamptons (1995)|Nobody Loves Me (Keiner liebt mich) (1994)|Nueba Yol (1995)|Unstrung Heroes (1995)|Boys on the Side (1995)|Eat Drink Man Woman (1994)
