Title,RecommendedTitles
Toy Story (1995),"Aladdin and the King of Thieves (1996)|American Tail, An (1986)|American Tail: Fievel Goes West, An (1991)"
Murder in the First (1995),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Nobody's Fool (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Nell (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
New Jersey Drive (1995),"Glass Shield, The (1994)|Once Were Warriors (1994)|Pulp Fiction (1994)"
New York Cop (1996),Set It Off (1996)|King of New York (1990)|Wisdom (1986)
Beyond Bedlam (1993),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Wolf (1994)
Nemesis 2: Nebula (1995),Johnny Mnemonic (1995)|Terminator 2: Judgment Day (1991)|Solo (1996)
Nina Takes a Lover (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Natural Born Killers (1994),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Only You (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Once Were Warriors (1994),"Glass Shield, The (1994)|New Jersey Drive (1995)|Pulp Fiction (1994)"
Poison Ivy II (1995),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Outbreak (1995),Guardian Angel (1994)|Tough and Deadly (1995)|Condition Red (1995)
"Professional, The (a.k.a. Leon: The Professional) (1994)",Bound (1996)|Copycat (1995)|Things to Do in Denver when You're Dead (1995)
"Perez Family, The (1995)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Pyromaniac's Love Story, A (1995)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Pulp Fiction (1994),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
Panther (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Pushing Hands (1992),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Priest (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Quiz Show (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Picture Bride (1995),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Queen Margot (La Reine Margot) (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Quick and the Dead, The (1995)","Mortal Kombat (1995)|Waterworld (1995)|Good Man in Africa, A (1994)"
Roommates (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Ready to Wear (Pret-A-Porter) (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Three Colors: Red (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Three Colors: Blue (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Three Colors: White (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Red Firecracker, Green Firecracker (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Rent-a-Kid (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Relative Fear (1994),In the Mouth of Madness (1995)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)
Stuart Saves His Family (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Swan Princess, The (1994)",Balto (1995)|Gumby: The Movie (1995)|Pinocchio (1940)
"Secret of Roan Inish, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
"Specialist, The (1994)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Stargate (1994),Judge Dredd (1995)|Star Trek: Generations (1994)|Jurassic Park (1993)
"Santa Clause, The (1994)","Kazaam (1996)|Flubber (1997)|Absent Minded Professor, The (1961)"
"Shawshank Redemption, The (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Shallow Grave (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Suture (1993),"Murder, My Sweet (1944)|Manchurian Candidate, The (1962)|Cape Fear (1962)"
Strawberry and Chocolate (Fresa y chocolate) (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Swimming with Sharks (1995),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
"Sum of Us, The (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
National Lampoon's Senior Trip (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
To Live (Huozhe) (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Tank Girl (1995),"Blues Brothers, The (1980)|Blues Brothers 2000 (1998)|Mars Attacks! (1996)"
Tales From the Crypt Presents: Demon Knight (1995),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Star Trek: Generations (1994),Judge Dredd (1995)|Stargate (1994)|Jurassic Park (1993)
Tales from the Hood (1995),"Dracula: Dead and Loving It (1995)|Cemetery Man (Dellamorte Dellamore) (1994)|Frighteners, The (1996)"
Tom & Viv (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Village of the Damned (1995),Species (1995)|Robert A. Heinlein's The Puppet Masters (1994)|Night of the Living Dead (1968)
Tommy Boy (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Vanya on 42nd Street (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Underneath, The (1995)",Just Cause (1995)|True Crime (1995)|Heaven's Prisoners (1996)
"Walking Dead, The (1995)",Richard III (1995)|Beyond Rangoon (1995)|Schindler's List (1993)
What's Eating Gilbert Grape (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Virtuosity (1995),"Lawnmower Man 2: Beyond Cyberspace (1996)|Screamers (1995)|Net, The (1995)"
While You Were Sleeping (1995),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"War, The (1994)","White Squall (1996)|Old Man and the Sea, The (1958)|Passion in the Desert (1998)"
Double Happiness (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Muriel's Wedding (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"Baby-Sitters Club, The (1995)","Zeus and Roxanne (1997)|Gnome-Mobile, The (1967)|Adventures of Milo and Otis, The (1986)"
Ace Ventura: Pet Detective (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Adventures of Priscilla, Queen of the Desert, The (1994)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Backbeat (1993),"Mis�rables, Les (1995)|Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)|Farinelli: il castrato (1994)"
Bitter Moon (1992),Nixon (1995)|Othello (1995)|Now and Then (1995)
Bullets Over Broadway (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Clear and Present Danger (1994),"GoldenEye (1995)|Surviving the Game (1994)|Rock, The (1996)"
"Client, The (1994)","Talented Mr. Ripley, The (1999)|2001: A Space Odyssey (1968)|Wild Things (1998)"
"Corrina, Corrina (1994)","American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
Crooklyn (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Crow, The (1994)","Desperado (1995)|Speed (1994)|Saint, The (1997)"
Cobb (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Flintstones, The (1994)","Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Forrest Gump (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Four Weddings and a Funeral (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Higher Learning (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
I Like It Like That (1994),"American President, The (1995)|Something to Talk About (1995)|Don Juan DeMarco (1995)"
I Love Trouble (1994),"Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)"
It Could Happen to You (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Jungle Book, The (1994)","Far Off Place, A (1993)|Tom and Huck (1995)|Wings of Courage (1995)"
"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
"Lion King, The (1994)",Snow White and the Seven Dwarfs (1937)|Beauty and the Beast (1991)|All Dogs Go to Heaven 2 (1996)
Little Buddha (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Wes Craven's New Nightmare (1994),"Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
"Mask, The (1994)",Striptease (1996)|Carpool (1996)|Some Like It Hot (1959)
Maverick (1994),Butch Cassidy and the Sundance Kid (1969)|Young Guns (1988)|Young Guns II (1990)
Mrs. Parker and the Vicious Circle (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Naked Gun 33 1/3: The Final Insult (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Paper, The (1994)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Reality Bites (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Red Rock West (1992),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Richie Rich (1994),"Big Green, The (1995)|Dunston Checks In (1996)|Heavyweights (1994)"
Safe Passage (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"River Wild, The (1994)",Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Speed (1994),"Desperado (1995)|Crow, The (1994)|Saint, The (1997)"
Speechless (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Timecop (1994),Highlander III: The Sorcerer (1994)|Demolition Man (1993)|No Escape (1994)
True Lies (1994),"Princess Bride, The (1987)|Jewel of the Nile, The (1985)|Romancing the Stone (1984)"
When a Man Loves a Woman (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Wolf (1994),Interview with the Vampire (1994)|Mary Shelley's Frankenstein (1994)|Beyond Bedlam (1993)
Wyatt Earp (1994),Wild Bill (1995)|Bad Girls (1994)|Tombstone (1993)
Bad Company (1995),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
"Man of No Importance, A (1994)",Nixon (1995)|Othello (1995)|Now and Then (1995)
S.F.W. (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Low Down Dirty Shame, A (1994)","I Love Trouble (1994)|Beverly Hills Cop III (1994)|Cowboy Way, The (1994)"
Boys Life (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Colonel Chabert, Le (1994)",Rob Roy (1995)|Casablanca (1942)|Gone with the Wind (1939)
Faster Pussycat! Kill! Kill! (1965),Get Shorty (1995)|Buffalo 66 (1998)|Best Men (1997)
Jason's Lyric (1994),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
"Secret Adventures of Tom Thumb, The (1993)","Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Street Fighter (1994),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Coldblooded (1995),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Desert Winds (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Fall Time (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Fear, The (1995)","Addiction, The (1995)|Lord of Illusions (1995)|Prophecy, The (1995)"
Frank and Ollie (1995),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Girl in the Cadillac (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Homage (1995),Nixon (1995)|Othello (1995)|Now and Then (1995)
Mirage (1995),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Open Season (1996),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Two Crimes (1995),Hana-bi (1997)|Dog Day Afternoon (1975)|Mystery Train (1989)
Brother Minister: The Assassination of Malcolm X (1994),Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Highlander III: The Sorcerer (1994),Timecop (1994)|Demolition Man (1993)|No Escape (1994)
Federal Hill (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
In the Mouth of Madness (1995),Relative Fear (1994)|Thinner (1996)|Halloween: The Curse of Michael Myers (1995)
8 Seconds (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Above the Rim (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Addams Family Values (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
You So Crazy (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Age of Innocence, The (1993)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Airheads (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Air Up There, The (1994)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Another Stakeout (1993),Head Above Water (1996)|Tainted (1998)|Homegrown (1998)
Bad Girls (1994),Wild Bill (1995)|Wyatt Earp (1994)|Tombstone (1993)
Barcelona (1994),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Being Human (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Beverly Hillbillies, The (1993)",Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Beverly Hills Cop III (1994),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Cowboy Way, The (1994)"
Black Beauty (1994),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Blink (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
Blown Away (1994),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Blue Chips (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
Blue Sky (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
Body Snatchers (1993),Village of the Damned (1960)|Children of the Damned (1963)|Puppet Master (1989)
Boxing Helena (1993),Spellbound (1945)|Dead Again (1991)|Charade (1963)
"Bronx Tale, A (1993)",Nixon (1995)|Othello (1995)|Now and Then (1995)
Cabin Boy (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Calendar Girl (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Carlito's Way (1993),"Glass Shield, The (1994)|New Jersey Drive (1995)|Once Were Warriors (1994)"
City Slickers II: The Legend of Curly's Gold (1994),Lightning Jack (1994)|Hot Lead and Cold Feet (1978)|Three Amigos! (1986)
Clean Slate (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Cliffhanger (1993),Rumble in the Bronx (1995)|Batman & Robin (1997)|Batman Forever (1995)
Coneheads (1993),"Junior (1994)|Mystery Science Theater 3000: The Movie (1996)|Visitors, The (Les Visiteurs) (1993)"
Color of Night (1994),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Cops and Robbersons (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Cowboy Way, The (1994)","I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Dangerous Game (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Dave (1993),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Dazed and Confused (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Demolition Man (1993),Timecop (1994)|Highlander III: The Sorcerer (1994)|No Escape (1994)
"Endless Summer 2, The (1994)",Across the Sea of Time (1995)|Nico Icon (1995)|Heidi Fleiss: Hollywood Madam (1995)
Even Cowgirls Get the Blues (1993),Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Fatal Instinct (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Farewell My Concubine (1993),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Favor, The (1994)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
Fearless (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Fear of a Black Hat (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
With Honors (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
Flesh and Bone (1993),Chungking Express (1994)|Lulu on the Bridge (1998)|Sommersby (1993)
Widows' Peak (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
For Love or Money (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Firm, The (1993)","Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Free Willy (1993),Free Willy 2: The Adventure Home (1995)|Buddy (1997)|Free Willy 3: The Rescue (1997)
Fresh (1994),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Fugitive, The (1993)",Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
Geronimo: An American Legend (1993),"Hi-Lo Country, The (1998)|McCabe & Mrs. Miller (1971)|Hud (1963)"
"Getaway, The (1994)",Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Getting Even with Dad (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Go Fish (1994),Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
"Good Man in Africa, A (1994)","Mortal Kombat (1995)|Waterworld (1995)|Quest, The (1996)"
Guilty as Sin (1993),Copycat (1995)|Amateur (1994)|Kiss of Death (1995)
Hard Target (1993),Heat (1995)|GoldenEye (1995)|Rumble in the Bronx (1995)
Heaven & Earth (1993),"Braveheart (1995)|Full Metal Jacket (1987)|Boat, The (Das Boot) (1981)"
Hot Shots! Part Deux (1993),Kelly's Heroes (1970)|Operation Dumbo Drop (1995)|Mars Attacks! (1996)
Live Nude Girls (1995),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
"House of the Spirits, The (1993)",Sense and Sensibility (1995)|Leaving Las Vegas (1995)|Carrington (1995)
House Party 3 (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
"Hudsucker Proxy, The (1994)",Grumpier Old Men (1995)|Sabrina (1995)|Clueless (1995)
I'll Do Anything (1994),Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
In the Army Now (1994),Canadian Bacon (1994)|Bananas (1971)|Mediterraneo (1991)
In the Line of Fire (1993),Nick of Time (1995)|Broken Arrow (1996)|Shopping (1994)
In the Name of the Father (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
"Inkwell, The (1994)",Waiting to Exhale (1995)|To Die For (1995)|Kicking and Screaming (1995)
What's Love Got to Do with It? (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Jimmy Hollywood (1994),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
Judgment Night (1993),Sudden Death (1995)|Money Train (1995)|Fair Game (1995)
Jurassic Park (1993),Judge Dredd (1995)|Stargate (1994)|Star Trek: Generations (1994)
Kalifornia (1993),"Casino (1995)|Eye for an Eye (1996)|Juror, The (1996)"
Killing Zoe (1994),Four Rooms (1995)|Assassins (1995)|Unforgettable (1996)
King of the Hill (1993),Nixon (1995)|Othello (1995)|Now and Then (1995)
Lassie (1994),"Tom and Huck (1995)|Amazing Panda Adventure, The (1995)|Casper (1995)"
Last Action Hero (1993),"I Love Trouble (1994)|Low Down Dirty Shame, A (1994)|Beverly Hills Cop III (1994)"
Life with Mikey (1993),Father of the Bride Part II (1995)|Ace Ventura: When Nature Calls (1995)|It Takes Two (1995)
